Name,brandUrl,category,creation_date,adresse_siege_social,rating,type_entreprise,nb_employees,nb_clients,nb_societies,nb_societies_international,sales,sources
AGMES,agmesnyc.com,"Fine jewelry — sculptural, minimalist, recycled precious metals (sterling silver, 14k gold); rings, bracelets, earrings, necklaces",2016,"43 Crosby St, Floor 2, SoHo, New York, NY 10012, USA",N/A,"LLC — Private company, co-founded by sisters Morgan Lang (née Solomon) and Jaclyn Solomon",~5–15 (very small studio; ZoomInfo low headcount),Not disclosed,1 entity (AGMES LLC),"NYC flagship store + DTC e-commerce; wholesale via Barneys (historical), Moda Operandi, select boutiques NA/EU/Asia","Not publicly disclosed (micro-brand, est. <$5M)",agmesnyc.com/about; ZoomInfo; W Magazine; Finematter; Highperformr
AJE,ajeworld.com,Contemporary Australian womenswear ready-to-wear & accessories; also Aje Athletica sub-line,2008,"Surry Hills, New South Wales, Australia",N/A,"Pty Ltd — Private company (The Aje Collective), founded by Adrian Norris and Edwina Forest",~297–313 (PitchBook 297; LeadIQ 313 Jul 2025),Not disclosed,The Aje Collective Pty Ltd (parent),20+ boutiques in Australia and New Zealand; e-commerce ships globally; Edwina Forest based in Paris for design; shown at Australian Fashion Week,≈ $14.5–15M (RocketReach/LeadIQ 2025 est.),ajeworld.com.au/our-story; LinkedIn; LeadIQ; PitchBook; RocketReach; CBInsights
ALISON LOU,alisonlou.com,"Fine jewelry — playful enamel, emoji-inspired, 14k gold; earrings, rings, necklaces, bracelets",2012,"22 E 65th St, New York, NY 10065, USA (flagship boutique); offices at 1270 Avenue of the Americas, NY",N/A,"LLC — Private company (Alison Lou LLC), founded by Alison Chemla",~11–50 (LinkedIn band),Not disclosed,Alison Lou LLC + Alison Lou Retail LLC + Alison Lou East Hampton LLC,"NYC flagship (Madison Ave/Upper East Side) + East Hampton boutique; wholesale worldwide (Net-A-Porter, Browns, Holt Renfrew, Saks Fifth Avenue, Shopbop, Marissa Collections)",≈ $450K in 2014 (Forbes early-stage); current est. ~$5–15M (private),alisonlou.com/about; ZoomInfo; Datanyze; Inc.com; Gem&Jewel; Yelp
Adam Lippes,adamlippes.com,"Luxury womenswear ready-to-wear — knitwear, outerwear, dresses, suiting, accessories; made in NYC",2013 (current brand; founder active since 2004 as ADAM+EVE),"225 Broadway, Suite 1801, New York, NY 10007, USA",N/A,"LLC — Adam Lippes LLC, Private company; investors: Sarofim family fund (Houston)",~27–40 (Craft.co 27; WWD interview '40 employees' Feb 2024),Not disclosed,Adam Lippes LLC (one entity); PPP loan recipient,"NYC flagship (Brookfield Place, 2021); Houston River Oaks (2024); Palm Beach; 100+ wholesale retailers worldwide; London store lease in progress (2024)",≈ $3–5M est. (RocketReach); Owler est. $5–25M; sales reportedly doubled Q1 2025 post Melania inauguration,Wikipedia; CBInsights; WWD (Feb 2024); RocketReach; Owler; Datanyze
Aimé Leon Dore,aimeleondore.com,"Lifestyle & menswear brand — apparel, footwear, accessories, home goods; post-streetwear heritage aesthetic",2014,"Queens / Nolita, New York, NY, USA (HQ Queens; flagship 2 Great Jones St, Nolita, Manhattan)",N/A,Private company — minority stake acquired by LVMH Luxury Ventures in 2022; founder Teddy Santis retains majority,~11–50 (Tracxn Jul 2024 band),Not disclosed,ALD Inc. (primary entity),"NYC flagship + London store; exclusive DTC model since 2022 (withdrew from 160 wholesale accounts); Café Leon Dore concept; collaborations: New Balance, Timberland, Porsche, Drake's","Not publicly disclosed; estimated range $30–100M (private, post-LVMH investment)",Wikipedia; Tracxn; aimeleondore.com; Highsnobiety; Medium; Business of Fashion
Alessandra Rich,alessandrarich.com,"Luxury womenswear ready-to-wear — dresses, gowns, tweed, lace; feminine, vintage-inspired silhouettes",2010,"105 Mount Street, London W1K 2TN, UK (HQ & boutique); Via Martiri Oscuri 22, Milan 20125, Italy (office)",N/A,"Ltd — Alessandra Rich Limited (UK entity, Companies House registered); also Alessandra Rich S.r.l. (Italy); Private company",~10–50 (Tracxn 10 in 2020; LinkedIn 11–50 band),Not disclosed,Alessandra Rich Limited (UK) + Alessandra Rich S.r.l. (Italy),"Collections shown at Paris Fashion Week; wholesale globally (Net-A-Porter, Harrods, Bergdorf Goodman, Mytheresa); royal clientele (Queen Camilla)",≈ $2M est. (RocketReach 2025); likely understated — undisclosed private figures,LinkedIn; Highperformr; RocketReach; Tracxn; Annie's Ibiza; fashionbi.com
Alix of Bohemia,alixofbohemia.com,"Handmade bohemian womenswear — jackets, dresses, shirts, tops; natural fibers, hand embroidery, limited seasonal runs",2009 (London); seasonal collections since 2018,"13 Christopher Street, New York, NY 10014, USA (studio/atelier)",N/A,"LLC — Private company (Alix of Bohemia LLC), founded by Alix Verley-Pietrafesa; CEO Sebastian Kaufmann",~5–15 (VisualVisitor 5; LeadIQ 15 Sep 2025),Not disclosed,Alix of Bohemia LLC + Alix of Bohemia Ltd (UK entity noted),"DTC e-commerce + select NY boutique; wholesale presence in Europe; artisan sourcing from India, Guatemala, Portugal, USA",≈ $1.8M (LeadIQ Sep 2025 est.); CIENCE est. $5–10M,alixofbohemia.com; ZoomInfo; LeadIQ; VisualVisitor; CIENCE
Altuzarra,altuzarra.com,"Luxury womenswear ready-to-wear & accessories — sensual, folkloric, Gallic-influenced; also Altu (genderfluid diffusion, 2022)",2008,"233 Broadway, 14th Floor, New York, NY 10279, USA",N/A,Private company (Altuzarra LLC) — minority stake held by Kering (since 2013); minority stake acquired by P180 (2024); founder Joseph Altuzarra majority owner,~30–50 (BoF '30+ employees' 2017; LinkedIn 11–50 band),Not disclosed,Altuzarra LLC,"No standalone flagship; 100+ premier wholesale retailers worldwide (Net-A-Porter, Bergdorf Goodman, Neiman Marcus, Matches); shown at NYFW (2008–2017, 2021–); Paris Fashion Week (2017–2021)",≈ $5.8M est. (RocketReach 2026); BoF ~sub-$20M; targeting $50M next milestone (per CEO),Wikipedia; altuzarra.com/about; BoF; LeadIQ; RocketReach; LinkedIn
Amanu Studio,amanustudio.com,"Handcrafted luxury sandals, bags, belts & jewelry; sustainable, Africa-inspired; Italian leather + Kenyan brass",2018,"605 W Knoll Dr, West Hollywood, CA 90069, USA",N/A,"Private company, founded by celebrity stylist Anita Patrickson",~2–10 (LinkedIn band),Not disclosed,Amanu Inc. (LA entity),DTC e-commerce (ships globally); Kibera (Kenya) artisan community (AMANU Academy); select stockists worldwide,"Not publicly disclosed (micro-brand, est. <$2M)",amanustudio.com/about; LinkedIn; Crunchbase; Studio C; ZoomInfo
Ancient Greek Sandals,ancient-greek-sandals.com,Luxury handmade women's & men's sandals; inspired by ancient Greek aesthetics; leather accessories & homewares,2012,"Athens, Greece (production & main HQ: Oinófita, Evvoia, Greece); London office (150 Royal College St, NW1)",N/A,"S.A. (Société Anonyme, Greece) — Ancient Greek Sandals Single Member S.A.; Private company, co-founded by Christina Martini and Nikolas Minoglou",~30 (Hole & Corner 2022 interview '30 people at HQ Athens'),Not disclosed,Ancient Greek Sandals Single Member S.A.,"Wholesale: Colette (historical), Net-A-Porter, Mytheresa, Matches, Selfridges, Le Bon Marché, Barneys; growing DTC; planning retail Athens/Mykonos; 51% avg growth since launch",Not publicly disclosed (est. ~$5–20M based on wholesale accounts),ancient-greek-sandals.com/our-story; BoF; Crunchbase; ZoomInfo; Hole & Corner; ImpacTalk
Andrea Fohrman,andreafohrman.com,"Fine jewelry — celestial, nature-inspired; 14k gold, vibrant gemstones, moon phase motifs; rings, earrings, necklaces",2004,"Los Angeles, California, USA (studio; artisans also in NYC Diamond District)",N/A,"LLC — Andrea Fohrman LLC / Andrea Fohrman Fine Jewelry LLC; Private company, sole proprietorship",~1–10 (independent studio),Not disclosed,Andrea Fohrman LLC,"DTC online + CFDA member; wholesale via Liberty London, select boutiques worldwide; Tucson Gem Show sourcing",Not publicly disclosed (est. <$5M),andreafohrman.com/our-story; CFDA; ZoomInfo; theeyeofjewelry.com; Liberty London
Another Tomorrow,anothertomorrow.co,"Sustainable luxury womenswear — B Corp certified; organic cotton, wool, linen; digital QR supply-chain transparency; also authenticated resale",2020,"New York City, NY, USA (HQ + NYC brick-and-mortar store)",N/A,Private company (B Corp Certified); founded by Vanessa Barboni Hallik (ex-Morgan Stanley MD); co-founder Jane Chung (ex-DKNY),~11–50 (LinkedIn est.),Not disclosed,Another Tomorrow Inc. (one entity),"NYC store + DTC e-commerce; wholesale (Neiman Marcus, Saks); global shipping; featured in Vogue, NYT T Magazine, Italian Vogue",Not publicly disclosed (early-stage luxury DTC; est. $3–10M),Wikipedia; anothertomorrow.co; Madame Architect interview; No Kill Mag; Impact Podcast
BODE New York,bodenewyork.com,"American luxury menswear & womenswear (since 2023) — antique/deadstock textiles, quilting, patchwork, appliqué; storytelling-driven",2016,"161 Water Street, New York, NY 10038, USA (office); 31 Mott St, NYC (flagship store)",N/A,"Private family company (Bode New York LLC) — co-owned by Emily Adams Bode Aujla (designer), Aaron Aujla (partner) and Dev Aujla (CEO); LVMH investment discussions reported 2025",~41 (Buzzfile); ~6 at HQ location,Not disclosed,Bode New York LLC,"NYC flagship (Chinatown/Mott St); LA store (2022); 105 wholesale accounts 2021; London major market; Paris Fashion Week Men's (2019); sold in Browns, MatchesFashion, Bergdorf, Moda Operandi",≈ $3M est. (RocketReach 2025); $1.3M (Buzzfile HQ-only); 70% DTC in 2021; profitable from start,Wikipedia; bode.com/about; BoF; RocketReach; Buzzfile; Puck News
BONDI BORN,bondiborn.com,"Luxury swimwear & resort wear — sustainable fabrics (ECONYL, recycled nylon); Australian-inspired",2018,"Sydney, New South Wales, Australia",N/A,"Private company (Bondi Born Pty Ltd), Australia",~11–50,Not disclosed,Bondi Born Pty Ltd,"DTC e-commerce (global); wholesale via Net-A-Porter, Revolve, Shopbop, Saks",Not publicly disclosed (est. ~$3–10M),bondiborn.com; LinkedIn; ZoomInfo
BPE,daniellefrankelstudio.com,"Bridal & occasion wear — custom-designed, atelier-quality; operated as Danielle Frankel Studio",2017,"New York City, NY, USA",N/A,"Private company, founded by Danielle Frankel",~5–15,Not disclosed,Danielle Frankel Studio LLC,"NYC studio; wholesale via Net-A-Porter, BHLDN; ships globally","Not publicly disclosed (niche bridal, est. <$3M)",daniellefrankelstudio.com; ZoomInfo; LinkedIn
Barton Perreira,bartonperreira.com,"Luxury eyewear — handcrafted frames (acetate, titanium); sunglasses & optical; premium American-Japanese craftsmanship",2007,"Los Angeles, California, USA",N/A,"Private company (Barton Perreira LLC), co-founded by Bill Barton and Patty Perreira",~11–50,Not disclosed,Barton Perreira LLC,"LA flagship; wholesale in 200+ premium optical boutiques globally (US, EU, Asia, Middle East)",Not publicly disclosed (est. ~$10–30M),bartonperreira.com; ZoomInfo; LinkedIn; CFDA
Berceau (Almasika),almasika.com,"Fine jewelry — geometric, talismanic, sculptural; 18k gold, precious stones; brand in your CSV referenced as 'Berceau' under almasika.com",2014,"New York, NY, USA",N/A,"Private company, founded by Catherine Sarr",~2–10,Not disclosed,Almasika LLC,"DTC online; select boutiques worldwide (Bergdorf Goodman, Goop, Net-A-Porter)",Not publicly disclosed (est. <$3M),almasika.com; ZoomInfo; LinkedIn
Borgo de Nor,borgodenor.com,"Contemporary womenswear — vibrant prints, silk, resort wear, dresses; London-based",2017,"London, United Kingdom",N/A,"Private Limited Company (UK), co-founded by sisters Daniella and Dasha Baroch",~11–50,Not disclosed,Borgo de Nor Ltd (UK),"DTC + wholesale worldwide (Liberty London, Net-A-Porter, Selfridges); shown at London Fashion Week",Not publicly disclosed (est. ~$2–8M),borgodenor.com; Companies House UK; LinkedIn
Brent Neale,brentneale.com,"Fine jewelry — playful, colorful enamel, 18k gold, bold cocktail rings, earrings; NYC-made",2014,"New York, NY, USA",N/A,"Private company (Brent Neale LLC), founded by Brent Neale Tucker",~5–15,Not disclosed,Brent Neale LLC,"NYC studio + DTC; wholesale (Bergdorf Goodman, Net-A-Porter, Moda Operandi, Anthropologie)",Not publicly disclosed (est. ~$2–8M),brentneale.com; ZoomInfo; LinkedIn; CFDA
By Pariah,bypariah.com,"Fine jewelry — gold filled, vermeil, minimalist everyday jewelry; sustainable, ethical sourcing",2015,Australia (online-first DTC),N/A,"Private company, Australia",~2–10,Not disclosed,By Pariah Pty Ltd,"DTC e-commerce (global); Australian-founded, ships worldwide",Not publicly disclosed (est. <$3M),bypariah.com; LinkedIn
CARLO MORETTI (via Emporio Sirenuse),emporiosirenuse.com,"Venetian glass lifestyle objects & gifts; distributed via Emporio Sirenuse (hotel boutique of Le Sirenuse, Positano)",1958 (Carlo Moretti glassworks Murano); Emporio Sirenuse – 1990s,"Via Cristoforo Colombo 30, Positano (SA) 84017, Italy (Le Sirenuse / Emporio Sirenuse)",N/A,S.r.l. — Carlo Moretti S.r.l. (Murano); Emporio Sirenuse S.r.l. (Positano). Both private Italian companies,~20–50 (combined),Not disclosed,Carlo Moretti S.r.l. + Emporio Sirenuse S.r.l.,"Positano boutique + online; wholesale (MoMA Design Store, high-end lifestyle retailers)",Not publicly disclosed,emporiosirenuse.com; carlomoretti.com; Wikipedia (Carlo Moretti)
CDLP,cdlp.se,"Luxury underwear & loungewear — TENCEL lyocell, sustainable fabrics; men's & women's basics",2016,"Stockholm, Sweden",N/A,"Private company (Christoffer Löfgren AB / CDLP AB), co-founded by Andreas Palm and Christian Larson",~25–75,Not disclosed,CDLP AB (Sweden),"DTC e-commerce (global); wholesale (Mr Porter, Net-A-Porter, Selfridges, Matchesfashion)",Not publicly disclosed (est. ~$10–30M),cdlp.se; LinkedIn; Tracxn
CHARO RUIZ,charoruiz.com,"Luxury resort wear & beachwear — crochet, lace, embroidery; Ibiza-born aesthetic",1990,"Ibiza, Spain",N/A,"S.L. (Sociedad Limitada) — Private Spanish company, founded by Charo Ruiz",~50–100,Not disclosed,Charo Ruiz Ibiza S.L.,Ibiza flagship + showrooms; 200+ wholesale stockists worldwide; e-commerce global,Not publicly disclosed (est. ~$10–30M),charoruiz.com; ZoomInfo; LinkedIn
Cabana Magazine,cabanamagazine.com,Luxury interiors & lifestyle magazine + limited-edition textile/home objects; biannual publication,2012,"Milan, Italy",N/A,"Private company (S.r.l.), co-founded by Martina Mondadori Sartogo",~11–50,Not disclosed,Cabana S.r.l.,"Published & distributed globally; sold at Colette (historical), Liberty, MoMA; events in NYC, London, Milan, Paris",Not publicly disclosed,cabanamagazine.com; LinkedIn; ZoomInfo
Calle Del Mar LLC,calledelmar.com,"Luxury swimwear & resortwear — sustainable fabrics, inclusive sizing",2018,"New York, NY, USA",N/A,LLC — Private company,~2–10,Not disclosed,Calle Del Mar LLC,DTC e-commerce; select wholesale,Not publicly disclosed (est. <$3M),calledelmar.com; ZoomInfo
Carolina Bucci,carolinabucci.com,"Fine & luxury jewelry — Florentine woven gold (Florentine finish), bracelets, necklaces, rings; Italian craftsmanship",2004,"Florence, Italy (family workshop heritage); London office/showroom",N/A,"Private company (Bucci family), founded by Carolina Bucci",~10–30,Not disclosed,Carolina Bucci Ltd (UK entity) + Italian entities,"No standalone stores; wholesale worldwide (Net-A-Porter, Bergdorf, Harrods, Matches); DTC online; global celebrity following",Not publicly disclosed (est. ~$5–20M),carolinabucci.com; ZoomInfo; LinkedIn; CFDA
Christian Siriano,christiansiriano.com,"Luxury womenswear & couture — eveningwear, ready-to-wear, accessories; inclusivity-champion; also collaborations (Payless, Starbucks, etc.)",2008,"260 W 36th Street, New York, NY 10018, USA",N/A,"LLC — Christian Siriano LLC; Private company, founded by Christian Siriano (Season 4 Project Runway winner)",~25–75 (LeadIQ est.),Not disclosed,Christian Siriano LLC,NYC flagship (260 W 36th St); wholesale worldwide; shown at NYFW; global media/celebrity presence,Not publicly disclosed (est. ~$10–30M),christiansiriano.com; ZoomInfo; LinkedIn; WWD
Christopher Esber,christopheresber.com,"Contemporary womenswear & menswear — Australian luxury designer; sculptural draping, corsetry, linen",2012,"Sydney, New South Wales, Australia",N/A,Pty Ltd — Private company (Christopher Esber Pty Ltd),~11–50,Not disclosed,Christopher Esber Pty Ltd,"Sydney flagship; wholesale worldwide (Net-A-Porter, Ssense, Moda Operandi, Shopbop); Australian Fashion Week; ships globally",Not publicly disclosed (est. ~$5–20M),christopheresber.com; ZoomInfo; LinkedIn; Vogue Australia
Christopher John Rogers,christopherjohnrogers.com,"Luxury womenswear — maximalist, color-saturated, sculptural; couture-adjacent; eveningwear",2016,"New York, NY, USA",N/A,"LLC — Private company; CFDA/Vogue Fashion Fund winner 2020; worn by Michelle Obama, Beyoncé",~11–50,Not disclosed,Christopher John Rogers LLC,"No standalone store; wholesale worldwide (Net-A-Porter, Saks, Bergdorf, Farfetch); shown at NYFW",Not publicly disclosed (est. ~$3–10M),christopherjohnrogers.com; ZoomInfo; LinkedIn; BoF
Clio Peppiatt,cliopeppiatt.co.uk,"Contemporary womenswear & accessories — whimsical, maximalist, retro-inspired; dresses, knitwear",2015,"London, United Kingdom",N/A,"Ltd — Clio Peppiatt Ltd (UK Companies House); Private company, founded by Clio Peppiatt",~5–20,Not disclosed,Clio Peppiatt Ltd (UK),"DTC online; wholesale (ASOS, Selfridges, Wolf & Badger)",Not publicly disclosed (est. ~$1–5M),cliopeppiatt.co.uk; Companies House UK; LinkedIn
Comme Si,commesi.com,"Premium socks & hosiery — sustainable, Egyptian cotton, Merino wool; elevated basics",2019,"New York, NY, USA",N/A,"Private company (Comme Si LLC), founded by Jessica Tay and Farida Jahanpour-Graff",~5–20,Not disclosed,Comme Si LLC,"DTC e-commerce (global); wholesale (Net-A-Porter, Goop, Saks, Bergdorf); ships worldwide",Not publicly disclosed (est. ~$2–8M),commesi.com; LinkedIn; ZoomInfo
Cortana,cortana.es,"Luxury bridal & womenswear — artisanal Spanish couture; silk, lace, minimal silhouettes",1994,"Barcelona, Spain",N/A,"S.L. — Cortana SL; Private Spanish company, founded by Rosa Tous Mateu",~20–50,Not disclosed,Cortana SL,Barcelona atelier + e-shop; wholesale globally; shown at Barcelona Bridal Fashion Week,Not publicly disclosed (est. ~$3–10M),cortana.es; LinkedIn; ZoomInfo
Diotima,diotima.world,"Contemporary womenswear — Caribbean-inspired, handcrafted crochet, natural fibers; designed by Rachel Scott",2020,"New York, NY, USA",N/A,"Private company (Diotima LLC), founded by Rachel Scott",~2–10,Not disclosed,Diotima LLC,"DTC online; wholesale (Bergdorf, Net-A-Porter, Ssense); CFDA member","Not publicly disclosed (est. <$3M, early-stage)",diotima.world; ZoomInfo; LinkedIn; CFDA
