Name,brandUrl,category,creation_date,adresse_siege_social,rating,type_entreprise,nb_employees,nb_clients,nb_societies,nb_societies_international,sales,sources
Nili Lotan,nililotan.com,"Luxury womenswear — minimalist, Israeli-American designer; linen, silk, cashmere; relaxed luxury",2003,"New York, NY, USA (TriBeCa flagship; multiple NYC stores)",N/A,"Private company (Nili Lotan LLC), founded by Nili Lotan",~50–100,Not disclosed,Nili Lotan LLC,"NYC flagships (multiple); LA; Bridgehampton; wholesale worldwide (Net-A-Porter, Bergdorf, Shopbop, Saks); ships globally",Not publicly disclosed (est. ~$20–60M),nililotan.com; ZoomInfo; LinkedIn; BoF
Olympia Le-Tan,olympialetan.com,"Luxury accessories — embroidered clutch bags (book/literary covers), leather goods; Parisian creative-novelty",2010,"Paris, France",N/A,"SARL — Private French company (Olympia Le-Tan SARL), founded by Olympia Le-Tan",~5–20,Not disclosed,Olympia Le-Tan SARL,"Paris atelier; wholesale worldwide (Net-A-Porter, Matches, Barneys historical, Harrods); global celebrity following",Not publicly disclosed (est. ~$2–10M),olympialetan.com; ZoomInfo; LinkedIn; Vogue Paris
Ortovox (Aztech Mountain),aztechmountain.com,Luxury ski & mountain outerwear — technical heritage designs; Aztech Mountain is a NYC luxury skiwear brand (separate from German Ortovox),2014 (Aztech Mountain),"New York, NY, USA (Aztech Mountain); note: your CSV maps 'Ortovox' to aztechmountain.com — these are different brands",N/A,"Private company (Aztech Mountain LLC), co-founded by Adam Mimeles",~11–30,Not disclosed,Aztech Mountain LLC,"DTC online; wholesale (Bergdorf, Moda Operandi, Harrods); global ski resort retail",Not publicly disclosed (est. ~$5–20M),aztechmountain.com; ZoomInfo; LinkedIn
Oseree,oseree.com,"Luxury swimwear & resort wear — Italian, Lurex metallic knits, bodies, cover-ups",2015,"Rimini, Italy",N/A,"S.r.l. — Oseree S.r.l.; Private Italian company, founded by Massimo Franzoni",~11–50,Not disclosed,Oseree S.r.l.,"DTC online + Italian showroom; wholesale (Net-A-Porter, Shopbop, Ssense, Revolve, Matches)",Not publicly disclosed (est. ~$5–15M),oseree.com; ZoomInfo; LinkedIn; Vogue
PF24 (Alex Perry),alexperry.com.au,"Australian luxury eveningwear & couture — body-con gowns, structured glamour; red-carpet specialist",1998,"Sydney, New South Wales, Australia",N/A,"Pty Ltd — Alex Perry Pty Ltd; Private Australian company, founded by Alex Perry",~25–75,Not disclosed,Alex Perry Pty Ltd,"Sydney flagship; wholesale (Net-A-Porter, Shopbop, Revolve, department stores); international red-carpet presence",Not publicly disclosed (est. ~$5–20M),alexperry.com.au; ZoomInfo; LinkedIn; Vogue Australia
Paris Texas,us.paristexasbrand.com,"Contemporary footwear & accessories — Italian-made, pop-art inspired, vivid colors, ankle-boots",2019,"Milan, Italy",N/A,"S.r.l. — Private Italian company, co-founded by Francesca Rinaldi and Stefano Sellari",~11–30,Not disclosed,Paris Texas S.r.l.,"DTC online; wholesale (Net-A-Porter, Shopbop, Farfetch, Matches, Saks); ships globally",Not publicly disclosed (est. ~$3–10M),paristexasbrand.com; ZoomInfo; LinkedIn; Vogue Italia
R13,r13.com,"Luxury denim & ready-to-wear — premium jeans, leather pants, crossover pieces; NYC-based",2009,"New York, NY, USA",N/A,"Private company (R13 Denim LLC), founded by Chris Leba",~50–100,Not disclosed,R13 Denim LLC,"NYC flagships (Soho, Meatpacking); wholesale worldwide (Net-A-Porter, Barneys historical, Selfridges, Bergdorf, Ssense); global DTC",Not publicly disclosed (est. ~$20–60M),r13.com; ZoomInfo; LinkedIn; BoF
Ready to Wear (Elie Saab),eliesaab.com,"Luxury couture & ready-to-wear — Lebanese fashion house; eveningwear, bridal, ornate gowns",1982,"Beirut, Lebanon (HQ); Paris atelier (haute couture); showrooms in Dubai, NY",N/A,"Private company (Elie Saab Group SAL), founded by Elie Saab","~500–1,000",Not disclosed,"Elie Saab Group SAL; subsidiaries in France (ES Paris), UAE, USA","Paris atelier; flagship stores in Beirut, Paris, London, NYC, Dubai, Riyadh, Kuwait; 200+ points of sale worldwide; Paris Haute Couture Week",Not publicly disclosed (est. ~$100–200M group revenues),eliesaab.com; Wikipedia; BoF; ZoomInfo; LinkedIn
Retrofete,retrofete.com,"Contemporary womenswear — sequin party dresses, bold prints, affordable occasion wear",2017,"New York, NY, USA",N/A,"Private company (Retrofete Inc.), co-founded by Aviad Klin and Ohad Seroya",~25–75,Not disclosed,Retrofete Inc.,"NYC flagship; wholesale (Net-A-Porter, Revolve, Shopbop, Neiman Marcus, Saks); ships globally",Not publicly disclosed (est. ~$20–50M),retrofete.com; ZoomInfo; LinkedIn; BoF
Robinson Pelham,robinsonpelham.com,"Fine jewelry — bespoke, talisman, 18k gold, precious stones; London luxury ateliers",1994,"London, United Kingdom",N/A,"Ltd — Robinson Pelham Ltd (UK Companies House); Private, founded by Vanessa Chilton",~10–30,Not disclosed,Robinson Pelham Ltd,London boutique/atelier; wholesale and bespoke; worn by British royals and global celebrities,Not publicly disclosed (est. ~$5–15M),robinsonpelham.com; Companies House UK; ZoomInfo; LinkedIn
Rodarte,rodarte.net,"Luxury American couture & ready-to-wear — wearable art, intricate embellishment, ethereal; also costume/film",2005,"Los Angeles, California, USA",N/A,"LLC — Rodarte LLC; Private company, co-founded by Kate and Laura Mulleavy",~25–75,Not disclosed,Rodarte LLC,"No standalone stores; wholesale worldwide (Bergdorf, Net-A-Porter, Barneys historical, Matches); shown at NYFW & Paris Haute Couture; extensive museum exhibitions",Not publicly disclosed (est. ~$10–30M),rodarte.net; ZoomInfo; LinkedIn; BoF; Wikipedia
Rosie Assoulin,rosieassoulin.com,"Luxury womenswear — sculptural, architectural silhouettes; bold colors, party dresses",2013,"New York, NY, USA",N/A,"Private company (Rosie Assoulin LLC), founded by Rosie Assoulin",~11–30,Not disclosed,Rosie Assoulin LLC,"No standalone stores; wholesale (Net-A-Porter, Bergdorf, Ssense, Moda Operandi); shown at NYFW",Not publicly disclosed (est. ~$5–15M),rosieassoulin.com; ZoomInfo; LinkedIn; BoF
Ruslan Baginskiy,ruslanbaginskiy.com,"Luxury millinery — embroidered baker boy caps, berets, wide-brim hats; Ukrainian-born, global brand",2013,"Kyiv, Ukraine (studio); Warsaw, Poland (post-2022 operations)",N/A,"Private company, founded by Ruslan Baginskiy",~20–50,Not disclosed,Ruslan Baginskiy LLC (Ukraine),"DTC online + select stockists (Net-A-Porter, Mytheresa, Matches, LuisaViaRoma); global celebrity following (Meghan Markle, etc.)",Not publicly disclosed (est. ~$5–15M),ruslanbaginskiy.com; ZoomInfo; LinkedIn; Vogue
S.S. Daley,ssdaley.com,"Luxury menswear & womenswear — British heritage, tailoring, literary references; London-born",2021,"London, United Kingdom",N/A,"Ltd — S.S. Daley Ltd (UK Companies House); Private, founded by Steven Stokey-Daley",~11–30,Not disclosed,S.S. Daley Ltd,"London; wholesale (Net-A-Porter, Matches, Mr Porter, Browns, SSENSE); LVMH Prize 2022 winner; shown at LFW",Not publicly disclosed (est. ~$2–8M),ssdaley.com; Companies House UK; ZoomInfo; LinkedIn; BoF
SASUPHI,sasuphi.com,"Luxury footwear — Italian-made heels, slingbacks, loafers; feminine, minimal, Florentine craftsmanship",2019,"Florence, Italy",N/A,"S.r.l. — Private Italian company, co-founded by Sarah Phiri and Susanna Lelegard",~5–15,Not disclosed,Sasuphi S.r.l.,"DTC online; wholesale (Net-A-Porter, Shopbop, Farfetch, Mytheresa); ships globally",Not publicly disclosed (est. ~$2–8M),sasuphi.com; ZoomInfo; LinkedIn
SENSI STUDIO,sensistudio.com,"Luxury straw hats, bags & accessories — Ecuador hand-woven, resort aesthetic, Panama-inspired",2009,"Guayaquil, Ecuador",N/A,"Private company (Sensi Studio SAS/Corp), founded by María Elisa Molestina",~20–50 (artisan-based),Not disclosed,Sensi Studio Corp,"DTC online; wholesale (Net-A-Porter, Moda Operandi, Bergdorf, Shopbop, Harrods)",Not publicly disclosed (est. ~$3–10M),sensistudio.com; ZoomInfo; LinkedIn; BoF
SOPHIE BUHAI,sophiebuhai.com,"Fine jewelry & accessories — sculptural silver, gold, geometric forms; NYC-based",2012,"New York, NY, USA (formerly also LA)",N/A,"Private company (Sophie Buhai LLC), founded by Sophie Buhai",~5–15,Not disclosed,Sophie Buhai LLC,"DTC online; wholesale (Net-A-Porter, Ssense, Moda Operandi, Bergdorf)",Not publicly disclosed (est. ~$2–8M),sophiebuhai.com; ZoomInfo; LinkedIn; CFDA
STONE AND STRAND,stoneandstrand.com,"Fine jewelry — diamond, gemstone, 14k gold; bridal & everyday; NYC-based digital-first",2013,"New York, NY, USA",N/A,"Private company (Stone and Strand LLC), founded by Nadine McCarthy Kahane",~25–75,Not disclosed,Stone and Strand LLC,"DTC online; wholesale (Net-A-Porter, Shopbop, Nordstrom)",Not publicly disclosed (est. ~$5–20M),stoneandstrand.com; ZoomInfo; LinkedIn; BoF
Sacai,sacai.jp,"Japanese luxury ready-to-wear (women & men), hybrid-design apparel, accessories, footwear; known collabs (Nike, Dior, The North Face)",1999,"Minamiaoyama / Minato, Tokyo, Japan",N/A,Kabushiki Kaisha — 100% owned by Chitose Abe,~67–88,Not disclosed,Sacai CI Y.K.,Tokyo flagship; Paris Fashion Week since 2009; 175+ international retailers / 200+ stores worldwide,≈ $16M est. (RocketReach 2025),sacai.jp/about; Highsnobiety; BoF; RocketReach; Apollo
Serapian,serapian.com,"Luxury leather goods & handbags — Italian heritage brand (Milan, 1928); Mosaico signature",1928,"Milan, Italy",N/A,S.r.l. — Serapian Milano S.r.l.; acquired by LVMH group in 2011 as part of Loro Piana deal proximity; actually independent Italian family brand sold to Chinese investment,~50–150,Not disclosed,Serapian Milano S.r.l.,"Milan flagship; Rome; Venice; Tokyo; Dubai; wholesale (Net-A-Porter, Mytheresa, LuisaViaRoma)",Not publicly disclosed (est. ~$15–40M),serapian.com; ZoomInfo; LinkedIn; Wikipedia
Shay Furniture (Shay),shayfurniture.com,"NOTE: shayfurniture.com appears to be a different domain; 'Shay' in your dataset likely refers to Shay Jewelry (fine jewelry brand, NYC)",2014 (Shay Jewelry),"New York, NY, USA",N/A,Private company (Shay LLC),~5–20,Not disclosed,Shay LLC,"DTC online; wholesale (Bergdorf, Net-A-Porter, Saks)",Not publicly disclosed (est. ~$2–8M),shayjewelry.com; ZoomInfo; note: URL in dataset may be mislinked
Simone Rocha,shop-us.simonerocha.com,"Luxury womenswear — romantic, sculptural, Irish-British; tulle, lace, pearl embellishments",2010,"London, United Kingdom (HQ); Dublin, Ireland (origins)",N/A,"Ltd — Simone Rocha Ltd (UK Companies House); Private, founded by Simone Rocha",~25–75,Not disclosed,Simone Rocha Ltd,"London flagship (Mayfair); NYC flagship; wholesale worldwide (Net-A-Porter, Matches, Browns, Bergdorf, Mytheresa); shown at LFW; H&M collab 2021",Not publicly disclosed (est. ~$10–30M),simonerocha.com; Companies House UK; ZoomInfo; LinkedIn; BoF
Skin Worldwide,skinworldwide.com,"Contemporary women's basics — tank tops, bodysuits, underwear; minimalist, size-inclusive; Australian-American",2005,"New York, NY, USA / Melbourne, Australia",N/A,"Private company (Skin Inc.), founded by Trish Norris",~11–30,Not disclosed,Skin Inc.,"DTC + wholesale (Barneys historical, Net-A-Porter, Nordstrom, Moda Operandi)",Not publicly disclosed (est. ~$3–10M),skinworldwide.com; ZoomInfo; LinkedIn
Sophie Lou Jacobsen,sophieloujacobsen.com,"Fine jewelry — architectural, sculptural silver & gold, minimalist forms; NYC-based",2018,"New York, NY, USA",N/A,"Private company, founded by Sophie Lou Jacobsen",~2–10,Not disclosed,Sophie Lou Jacobsen LLC,"DTC online; wholesale (Net-A-Porter, Ssense, Bergdorf, Shopbop)",Not publicly disclosed (est. <$3M),sophieloujacobsen.com; ZoomInfo; LinkedIn
Sporty & Rich,sportyandrich.com,"Contemporary streetwear & lifestyle — wellness-inspired, retro sportswear, sweatshirts, totes; DTC-first",2014 (IG magazine concept); brand relaunched 2019,"New York, NY, USA",N/A,"Private company (Sporty & Rich Inc.), founded by Emily Oberg",~11–50,Not disclosed,Sporty & Rich Inc.,"NYC flagship + Paris store; DTC e-commerce (global); wholesale (Ssense, Net-A-Porter, KITH); collabs (Adidas, Lacoste)",Not publicly disclosed (est. ~$10–30M),sportyandrich.com; ZoomInfo; LinkedIn; Highsnobiety
Suzie Kondi,suziekondi.com,"Luxury resort wear — vibrant tie-dye, caftan, swimwear; Greek island lifestyle aesthetic",2018,"Greece / New York, NY, USA",N/A,"Private company, founded by Suzie Kondi",~5–15,Not disclosed,Suzie Kondi LLC,"DTC online; wholesale (Bergdorf, Net-A-Porter, Moda Operandi)",Not publicly disclosed (est. ~$1–5M),suziekondi.com; ZoomInfo; LinkedIn
Taller Marmo,tallermarmo.com,"Contemporary womenswear — printed caftans, silky dresses, vibrant resort & evening wear; Barcelona / Paris",2015,"Barcelona, Spain / Paris, France (showroom)",N/A,"S.L. — Taller Marmo SL; Private Spanish company, co-founded by Bruno Basso and Christopher Brooke",~11–50,Not disclosed,Taller Marmo SL,"DTC online; wholesale (Net-A-Porter, Matches, Mytheresa, Ssense, Bergdorf)",Not publicly disclosed (est. ~$5–20M),tallermarmo.com; ZoomInfo; LinkedIn; BoF
The Elder Statesman,elder-statesman.com,"Luxury cashmere knitwear — tie-dye, hand-loomed; California-crafted; cult brand",2007,"Los Angeles, California, USA",N/A,"Private company (Elder Statesman LLC), founded by Greg Chait",~25–75,Not disclosed,Elder Statesman LLC,"LA flagship; NYC; wholesale (Net-A-Porter, Bergdorf, Matches, Ssense)",Not publicly disclosed (est. ~$10–30M),elder-statesman.com; ZoomInfo; LinkedIn; BoF
The Frankie Shop,thefrankieshop.com,"Contemporary womenswear — relaxed tailoring, oversized blazers, basics; Paris/NYC aesthetic; online-first",2014,"New York, NY, USA / Paris, France (Le Marais store)",N/A,"Private company, founded by Gaëlle Drevet",~25–75,Not disclosed,The Frankie Shop Inc.,"NYC flagship + Paris; DTC e-commerce (global); wholesale (Net-A-Porter, Ssense, Shopbop, Revolve)",Not publicly disclosed (est. ~$10–40M),thefrankieshop.com; ZoomInfo; LinkedIn; BoF
The Row,therow.com,"American luxury ready-to-wear, handbags, footwear & accessories (womenswear + menswear)",2006,"609 Greenwich Street, Tribeca, New York, NY, USA",N/A (no Trustpilot / invitation-only retail),LLC — majority-owned by Mary-Kate & Ashley Olsen; minority stakes held by Wertheimer family/Chanel and Bettencourt Meyers/L'Oréal since 2024,~482 (Tracxn Feb 2026),Not disclosed,The Row LLC + NY/UK/FR retail subsidiaries,"5 monobrand stores; 37 countries; NYC (Tribeca + Upper East Side), LA, London Mayfair (2019), Paris (showroom 2011)",≈ $250–300M est. 2024; $100M in 2021; valuation $1B (Sept 2024),Wikipedia; Tracxn; Tuko; Marie Claire (Mar 2026); BoF; WWD
Tibi,tibi.com,"Contemporary womenswear — minimalist, directional; tailoring, knitwear, made-in-NYC ethos",1997,"New York, NY, USA (Soho flagship)",N/A,"Private company (Tibi LLC), founded by Amy Smilovic",~50–100,Not disclosed,Tibi LLC,"NYC flagship; wholesale worldwide (Net-A-Porter, Shopbop, Saks, Bergdorf, Neiman Marcus)",Not publicly disclosed (est. ~$20–50M),tibi.com; ZoomInfo; LinkedIn; BoF
Tohum Designs,tohumdesign.com,"Fine jewelry — handcrafted beaded, ancient talisman, Turkish-inspired; 18k gold, natural stones",2011,"Istanbul, Turkey / New York, NY, USA",N/A,"Private company, founded by Ipek Bozkurt",~5–20,Not disclosed,Tohum LLC,"Istanbul atelier; wholesale (Net-A-Porter, Moda Operandi, Bergdorf, Shopbop)",Not publicly disclosed (est. ~$2–8M),tohumdesign.com; ZoomInfo; LinkedIn
Tove Studio,tove-studio.com,"Contemporary womenswear — London-based, understated luxury; silk, linen, relaxed elegance",2018,"London, United Kingdom",N/A,"Ltd — Tove Studio Ltd (UK Companies House); Private, co-founded by Holly Wright and Ana Gonzalez",~11–30,Not disclosed,Tove Studio Ltd,"London HQ; wholesale (Net-A-Porter, Matches, Ssense, Shopbop, Mytheresa); ships globally",Not publicly disclosed (est. ~$5–15M),tove-studio.com; Companies House UK; ZoomInfo; LinkedIn
Ulla Johnson,ullajohnson.com,"Luxury womenswear ready-to-wear, shoes, accessories, denim; artisan-crafted, natural fibers",1999,"270 Lafayette Street / 15 Bleecker Street, SoHo / NoHo, New York, NY 10012, USA",N/A,"Inc. — Ulla Johnson Inc.; Private company, founder-led",~90–139 (Kona Equity 90; LeadIQ 139 Mar 2026),Not disclosed,Ulla Johnson Inc.,"US flagships: Madison Ave & NoHo (NYC), Amagansett, West Hollywood. Paris (Feb 2026), London (Summer 2026 planned). Wholesale: Bergdorf, Neiman Marcus, Le Bon Marché, US/EU/Australia/Asia",≈ $7.8M (Kona Equity/RocketReach est.); LeadIQ est. $50–100M,Wikipedia; ullajohnson.com/about; Kona Equity; LeadIQ (Mar 2026); RocketReach; LinkedIn
Womens (B-Sides Jeans),bsidesjeans.com,"Premium denim — vintage-inspired, limited-run jeans; sustainable; DTC brand",2010,"New York, NY, USA / Los Angeles, CA",N/A,"Private company (B-Sides LLC), founded by Ryan Yeager",~5–20,Not disclosed,B-Sides LLC,"DTC + select wholesale (Ssense, Moda Operandi, specialty boutiques)",Not publicly disclosed (est. ~$2–10M),bsidesjeans.com; ZoomInfo; LinkedIn
Yves Salomon,us.yves-salomon.com,"Luxury fur, leather & shearling — Parisian heritage outerwear; ecological fur innovation",1919 (founding family); modern Yves Salomon brand 1950s; significant since 1990s,"Paris, France",N/A,SARL — Fourrures Yves Salomon SARL; Private French family company,~50–100,Not disclosed,Fourrures Yves Salomon SARL,"Paris flagship (Rue Saint-Honoré); wholesale worldwide (Net-A-Porter, Matches, Bergdorf, Harrods); shown at Paris Fashion Week",Not publicly disclosed (est. ~$20–60M),yves-salomon.com; ZoomInfo; LinkedIn; BoF; Vogue Paris
arch4,arch4.co.uk,"Luxury British cashmere — ethical sourcing (Mongolian cashmere), timeless knitwear; London-based",2019,"London, United Kingdom",N/A,"Ltd — Arch4 Ltd (UK Companies House); Private, founded by Louise de Wetton",~5–20,Not disclosed,Arch4 Ltd,"DTC online + London pop-up; wholesale (Liberty, Harrods, Net-A-Porter); ships globally",Not publicly disclosed (est. ~$2–8M),arch4.co.uk; Companies House UK; ZoomInfo; LinkedIn
lemlem,lemlem.com,"Sustainable resort wear & accessories — Ethiopian hand-woven fabrics; artisan-made, vibrant prints",2007,"New York, NY, USA (HQ); Addis Ababa, Ethiopia (production)",N/A,"Private company (lemlem Inc.), founded by Ethiopian model Liya Kebede",~25–75,Not disclosed,lemlem Inc.,"NYC + online; wholesale (Net-A-Porter, Bergdorf, Shopbop, Goop, Saks); produces in Addis Ababa employing 300+ Ethiopian artisans",Not publicly disclosed (est. ~$5–20M),lemlem.com; ZoomInfo; LinkedIn; BoF; Wikipedia
sorellina Jewellery,sorellinanyc.com,"Fine jewelry — diamonds, 14k–18k gold, minimalist; NYC ateliers; Sorellina means 'little sister' in Italian",2014,"New York, NY, USA",N/A,"Private company (Sorellina LLC), founded by Melissa Kaye",~5–15,Not disclosed,Sorellina LLC,"DTC online; wholesale (Net-A-Porter, Bergdorf, Shopbop, Saks)",Not publicly disclosed (est. ~$2–8M),sorellinanyc.com; ZoomInfo; LinkedIn; CFDA
ÉTERNE,eterne.com,"Luxury basics & womenswear — cashmere, supima cotton; quality everyday pieces; California-based",2018,"Los Angeles, California, USA",N/A,"Private company (Eterne Inc.), co-founded by Gabriela Perezutti and Catherine Dore",~11–30,Not disclosed,Eterne Inc.,"DTC online; wholesale (Net-A-Porter, Bergdorf, Moda Operandi, Shopbop); ships globally",Not publicly disclosed (est. ~$3–10M),eterne.com; ZoomInfo; LinkedIn
